nb_clau normal rand moms1 moms2 dlis
150 0 0 0 0 0
155 0 0 0 0 0
160 0 0 0 0 0
165 0 0 0 0 0
170 0 0 0 0 0
175 0 0 0 0 0
180 0 0 0 0 0
185 0 0 0 0 0
190 0 0 0 0 0
195 0 0 0 0 0
200 0 0 0 0 0
205 0 0 0 0 0
210 0 0 0 0 0
215 0 0 0 0 0
220 0 0 0 0 0
225 0 0 0 0 0
230 0 0 0 0 0
235 0 0 0 0 0
240 0 0 0 0 0
245 0 0 0 0 0
250 0 0 0 0 0
255 0 0 0 0 0
260 0 0 0 0 0
265 0 0 0 0 0
270 0 0 0 0 0
275 0 0 0 0 0
280 .03 0 0 0 0
285 0 .01 0 0 0
290 0 0 0 0 0
295 .03 .01 0 0 0
300 .01 .03 0 0 0
305 .01 .02 0 0 0
310 .02 .04 0 0 0
315 .05 .05 0 0 0
320 .15 .06 0 0 0
325 .07 .09 0 0 0
330 .11 .12 0 0 0
335 .13 .15 0 0 0
340 .08 .20 0 0 0
345 .43 .19 0 0 .01
350 .61 .50 0 0 .01
355 .38 .56 0 0 .02
360 .60 .44 0 0 .02
365 .48 .88 0 0 .03
370 1.09 1.16 .01 0 .03
375 3.42 1.88 .01 .01 .03
380 1.40 1.55 .01 .01 .04
385 1.97 2.33 .02 .02 .05
390 2.91 3.05 .05 .02 .09
395 4.03 3.19 .06 .03 .11
400 4.49 5.42 .13 .06 .15
405 0.00 0.00 .18 .08 .18
410 0.00 0.00 .22 .10 .19
415 0.00 0.00 .29 .11 .25
420 0.00 0.00 .34 .12 .26
425 0.00 0.00 .37 .13 .31
430 0.00 0.00 .41 .13 .26
435 0.00 0.00 .38 .14 .32
440 0.00 0.00 .45 .16 .29
445 0.00 0.00 .45 .17 .33
450 0.00 0.00 .35 .12 .24
455 0.00 0.00 .45 .14 .30
460 0.00 0.00 .40 .14 .25
465 0.00 0.00 .43 .14 .27
470 0.00 0.00 .40 .13 .25
475 0.00 0.00 .34 .11 .23
480 0.00 0.00 .34 .11 .22
485 0.00 0.00 .36 .11 .23
490 0.00 0.00 .32 .10 .20
495 0.00 0.00 .32 .09 .20
500 0.00 0.00 .32 .10 .20
505 0.00 0.00 .30 .09 .19
510 0.00 0.00 .27 .09 .17
515 0.00 0.00 .26 .08 .16
520 0.00 0.00 .23 .07 .15
525 0.00 0.00 .23 .08 .15
530 0.00 0.00 .23 .07 .14
535 0.00 0.00 .21 .07 .15
540 0.00 0.00 .22 .07 .15
545 0.00 0.00 .20 .06 .12
550 0.00 0.00 .19 .06 .12
555 0.00 0.00 .18 .06 .12
560 0.00 0.00 .16 .05 .12
565 0.00 0.00 .17 .05 .12
570 0.00 0.00 .16 .05 .11
575 0.00 0.00 .17 .05 .11
580 0.00 0.00 .15 .05 .10
585 0.00 0.00 .15 .05 .10
590 0.00 0.00 .13 .04 .09
595 0.00 0.00 .15 .04 .09
600 0.00 0.00 .13 .04 .09
