nb_var normal rand moms1 moms2 dlis
100 0 0 0 0 0
105 0 0 0 0 0
110 0 0 0 0 0
115 0 0 0 0 0
120 0 0 0 0 0
125 0 0 0 0 0
130 0 0 0 0 0
135 0 0 0 0 0
140 0 0 0 0 0
145 0 0 0 0 0
150 0 0 0 0 0
155 0 0 0 0 0
160 0 0 0 0 0
165 0 0 0 0 0
170 0 0 0 0 0
175 0 0 0 0 0
180 0 0 0 0 0
185 .01 0 0 0 0
190 .01 .01 0 0 0
195 .01 .01 0 0 0
200 .02 .02 0 0 0
205 .01 .02 0 0 0
210 .02 .02 0 0 0
215 .02 .02 0 0 0
220 .03 .03 0 0 0
225 .02 .03 0 0 0
230 .02 .02 0 0 0
235 .02 .03 0 0 0
240 .03 .02 0 0 0
245 .02 .02 0 0 0
250 .02 .02 0 0 0
255 .02 .02 0 0 0
260 .02 .02 0 0 0
265 .02 .02 0 0 0
270 .01 .01 0 0 0
275 .01 .01 0 0 0
280 .01 .01 0 0 0
285 .01 .01 0 0 0
290 .01 .01 0 0 0
295 .01 .01 0 0 0
300 .01 .01 0 0 0
